Meta-Protein 2708;BE_03;BE_04;BE_06;BE_08;BE_09;BE_10;BE_40;BE_07;BE_01;BE_02;BE_05;BE_11;BE_12;BE_13;BE_14;BE_15;BE_16;BE_17;BE_18;BE_20;BE_21;BE_22;BE_25;BE_26;BE_28;BE_29_1;BE_29_2;BE_29_3;BE_32;BE_36;BE_37;BE_38;BE_41;BE_43;BE_45_1;BE_45_2;BE_45_3;BE_35;BE_44;BE_30;BE_33;BE_31;BE_34;BE_19;BE_23;BE_24;BE_27;BE_46;BE_48;BE_49;BE_50;BE_51;BE_52;BE_53;BE_55;BE_47;BE_54;BE_56;BE_57;BE_58;BE_59;BE_61;BE_63;BE_62;BE_60;BE_64
Meta-Protein 67;0;0;0;0;0;0;0;0.001385361;0.001046025;0;0;0;0.002074074;0.008113397;0.004474673;0;0.002933817;0.001464844;0.004546463;0.000509781;0.001018112;0.000998336;0.000466309;0.004772159;0.001589136;0.002042791;0.002333852;0.000670841;0;0.012480085;0.006815835;0.00440209;0;0.000546837;0;0;7.72E-05;0.001714068;0.005260641;0.001646091;0;0;0;0.004276474;0.006127876;0.003656456;0;0.00887574;0.003738436;0.005771312;0.00550381;0.003946476;0.00799463;0.008738733;0.00110424;0.001572636;0.006552007;0.001350439;0.006384214;0.006298053;0.000314614;0.000824003;0.000304674;0.000506586;0.000338066;0.005534779
Meta-Protein 2863;0;0;0;0;0;0;0;0.009466636;0;0;0;0;0.011851852;0.000954517;0;0.006873568;0.002157218;0.001708984;0.003603903;0.001593067;0.002625656;0.001497504;0.007383228;0.003375429;0.002383704;0.005268251;0.004334297;0.003466011;0.00061657;0.003628961;0.007435456;0.003579721;0.000281717;0.003718489;0;0;0;0.00285678;0.00095648;0.003223594;0;0.001495643;0;0.003207356;0.009827726;8.13E-05;0.000680793;0.003883136;0.004625523;0.000240471;0.00042337;0.000369982;0.001098499;0.003646873;0.00795053;0.00150711;0.000595637;0.010353365;0.000580383;0.004253231;0.004640554;0.001114827;0.001645238;0.003461668;0.000743746;0.000149589
Meta-Protein 145;0;0;0;0;0;0;0;0;0;0;0;0;0.001333333;4.77E-05;0;0.007915018;0.001208042;0.010335286;0.001940563;0.00356847;0.012485264;0.009151414;0.011113702;0.005819706;0.008379081;0.001666487;0.001444766;0.001006261;0.00416185;0;6.88E-05;4.84E-05;9.39E-05;0.004101274;0;0;0;0.00285678;0;0.000891632;0.001568874;0.001040447;0.000756185;0.002458973;0.00369985;0.001381328;0.00791422;0.00106324;0.00361171;0.000420825;0.000105843;0.000616637;0.000610277;0;0;0.001245004;0.001042365;0;0.00101567;0.000899722;0.005269781;0.005234841;0.000304674;0.00270179;0.004530088;4.99E-05
Meta-Protein 2767;0;0;0;0;0.001456134;0;0.003660566;0.002539829;0.00209205;0;0.000773994;0;0.002222222;0.000334081;0;0.004061654;0.001553197;0.00382487;0.003160346;0.003186134;0.000750188;0.00374376;0.000699464;0.001222138;0.001444669;0.002795398;0.002444988;0.002683363;0.001310212;0.000619579;0.002203098;0.001015867;0.003662316;0.004320009;0.001536714;0.002056637;0.001929608;0.00412646;0.003921569;0.004458162;0.004235959;0.002015867;0.000972237;0.001069119;0.000809342;0.001300073;0.002893371;0.003097263;0.005512609;0.002164242;0.002222693;0.002528211;0.00292933;0.000756898;0.002208481;0.003079746;0.004169459;0.002475805;0.004062681;0.002371994;0.00637093;0.003683777;0.001645238;0.00363053;0.003515889;0.000299177
Meta-Protein 3042;0.000471698;0.002883229;0;0;0.004732435;0;0;0.006234126;0.000523013;0;0;0;0.005925926;0.000715888;0;0.005103104;0.003537838;0.004231771;0.003936571;0.002039126;0.001607545;0.004492512;0.004896246;0.001629518;0.000866802;0.003010429;0.002778395;0.001788909;0.001618497;0.000619579;0.003304647;0.002467105;0.00084515;0.007272926;0.000601323;0.000395507;0.000617475;0.003110716;0.002486848;0.0021262;0.000156887;0.001495643;0.000540132;0.002993532;0.006937218;0.000406273;0.000425496;0.003975592;0.004562159;0.001202357;0.002328535;0.001973238;0.001952887;0.002752357;0.004637809;0.001834742;0.000297818;0.006527121;0.000290192;0.00196303;0.003460752;0.003732248;0.002071781;0.001435326;0.002434077;0
Meta-Protein 116;0.000943396;0.002402691;0;0;0.003276301;0;0;0;0;0;0;0.000654022;0.003407407;0.003197633;0.000536961;0.003957509;0.003882992;0.004231771;0.003049457;0.00095584;0.006590933;0.003826955;0.002486982;0.00849677;0.004984109;0.003548006;0.00344521;0.001341682;0.001849711;0.001947247;0.001032702;0.002176858;0;0.001421775;0.000200441;0.000316406;0.000231553;0.001777552;0.000573888;0.000960219;0;0.002210951;0.000324079;0.006788903;0.002659267;0.000975055;0.001531785;0.000785873;0.002914713;0.001623181;0.002328535;0.003391503;0.00158672;0.000894516;0;0.001113951;0.002382548;0;0.002321532;0.002780959;0.002202297;0.00256895;0.000670282;0.002026342;0.001555105;0.00398903
Meta-Protein 205;0.000471698;0.000961076;0;0;0.001820167;0;0;0;0;0;0;0;0;0.006061185;0.000894935;0.00083316;0.004832168;0.002848307;0.001996008;0.001083286;0.003375844;0.003161398;0.000544027;0.001745912;0.002600405;0.004461886;0.004723272;0.004584079;0.004701349;0;0;0.003241099;0;0.002624815;0.000601323;0.000632811;0.000926212;0.002094972;0.003634625;0.000342936;0;0.001560671;0;0.003635003;0.000231241;0.000812546;0.000765892;0.001109467;0.000887087;0.00276542;0.002698984;0.003206512;0.002502136;0.000825707;0;0.000589739;0.00290373;0;0.002829367;0.003435302;0.002674217;0.003489894;0.001401499;0.001013171;0.00311021;0.004288207
Meta-Protein 2;0;0;0;0;0.000364033;0;0;0.00392519;0;0;0;0;0.002814815;0.002434019;0.009307321;0.00020829;0.006126499;0.001546224;0.004102905;0;0;0.002163062;0.000233155;0.002618867;0.00209477;0.004784432;0.004834408;0.004136852;0.002466281;0.004337051;0.002960413;0.012432276;0;0.000328102;0;0;0;0.000761808;0;0.000823045;0.000313775;0.001690727;0;0.00577324;0.000693722;8.13E-05;0.000850991;0.001849112;0.000887087;0.001502946;0.001534716;0.000924955;0.002746247;0.005367096;0.002650177;0;0.000372273;0.003826244;0.000362739;0.000899722;0;0.002278125;0.000243739;0.000168862;0.002772143;0.003440539
Meta-Protein 2899;0.002358491;0.004324844;0.003809524;0.004118051;0.001456134;0.008052709;0.002329451;0;0.002615063;0.001948052;0.003869969;0.010464356;0.001037037;0.000334081;0.000178987;0.003645074;0.000345155;0.00382487;0.000720781;0.004205697;0.000375094;0.002995008;0.001321209;0.000232788;0.000288934;0.000806365;0.000833519;0;0.000462428;8.85E-05;0.000757315;0.00062887;0.005352615;0.001476459;0.003407496;0.003322259;0.003782031;0.004189944;0.006982305;0.003155007;0.006746156;0.002601118;0.000432105;0.000534559;0.001040583;0.000731291;0.002042379;0.001340607;0.000696997;0.001322592;0.001323031;0.00166492;0.001525693;0.000825707;0;0.005176594;0.00290373;0;0.00340975;0.000981515;0.009674375;0.001260239;0.003656084;0.005994596;0.001352265;0.002144104
Meta-Protein 3765;0;0.001441615;0;0;0.002548234;0;0;0.000461787;0;0;0;0;0.004740741;0.000429533;0;0.003332639;0.003106394;0.003417969;0.003437569;0.001720512;0.001500375;0.00249584;0.005906583;0.001222138;0.000433401;0.003064187;0.003389642;0.002571556;0.001926782;0.000265534;0.003442341;0.002321981;0.000751244;0.006015202;0.000200441;0.000237304;0.000308737;0.002031488;0.00191296;0.001371742;0;0.000780336;0;0.002298605;0.004277951;0;0.000510595;0.004391642;0.00342162;0.001623181;0.002857748;0.001973238;0.00213597;0.002683548;0;0.000982898;7.45E-05;0.000450146;7.25E-05;0.001308686;0.002674217;0.003926131;0.001584303;0.001435326;0.003448276;0.000199452
Meta-Protein 2670;0;0;0;0;0;0;0;0;0;0;0;0;0.006074074;0.000286355;0;0.005727973;0.002157218;0.00398763;0.002938567;0.000446059;0.007716215;0.003660566;0.003652755;0.007041844;0.004695175;0.002150306;0.001611469;0.000670841;0.00177264;0.004956629;0.002478485;0.000483746;0;0.001749877;0;0;0;0.000888776;0;0.000205761;0;0.000130056;0;0.012615598;0.003468609;0;0.001872181;0.00041605;0.001584083;0.001322592;0.001640559;0.001294937;0.001647748;0;0;0.001572636;0.000819001;0;0.00101567;0.002780959;0.001258455;0.001066356;0.001401499;0.000759878;0.000878972;0.000747943
Meta-Protein 167;0;0;0;0;0;0;0;0.001847148;0;0;0;0;0.002074074;0.000429533;0.000178987;0.000729015;0.001208042;0.004638672;0.001552451;0.001147008;0.002518487;0.003660566;0.002720137;0.000814759;0.003250506;0.000806365;0.000722383;0.000447227;0.003545279;0.005930253;0.002753873;0.001209365;0;0.000984306;0;0;0;0.001015744;0.001243424;0.000548697;0;0.001365587;0.000324079;0.000801839;0.005202914;0.000650037;0.000340397;0.00254253;0.002597896;0.00414813;0.001428874;0.002959857;0.004577078;0.002752357;0.001325088;0.002948693;0.003127094;0.001800585;0.003119559;0.002126615;0.002831524;0.002375067;0.005423192;0.004052685;0.002231237;0.001146846
Meta-Protein 150;0;0.001441615;0;0.000686342;0.000364033;0;0;0;0.000523013;0.001298701;0;0.000654022;0.002814815;9.55E-05;0;0.004998959;0.001553197;0.003336589;0.005489022;0.009430956;0.000964527;0.003577371;0.002331546;0.000814759;0.000577868;0.001290184;0.00105579;0.001900716;0.000847784;0.000885112;0.003648881;0.000773994;0.001596394;0.004976213;0.001202646;0.001028318;0.001466502;0.00285678;0.001626016;0.001783265;0.002510198;0.000195084;0.001728422;0.001122574;0.002774887;0.000568782;0.000765892;0.003328402;0.005956153;0.001082121;0.001217189;0.00117161;0.00134261;0.001444987;0.000220848;0.001048424;0.000372273;0;0.000362739;0.001226894;0.0045619;0.00261742;0.001340564;0.001519757;0.001825558;0
Meta-Protein 74;0;0;0;0;0;0;0;0.000230894;0;0;0;0;0.001925926;0.004008972;0.000894935;0.002291189;0.005091035;0.001464844;0.003881127;0.001274454;0.000589433;0.001497504;0.001321209;0.000174591;0.000144467;0.004569401;0.004334297;0.003689624;0.000462428;0.001327669;0.00172117;0.004353715;0.000469528;0.00344507;0.000801764;0.000791014;0.000849027;0.001777552;0;0.002537723;0;0.001170503;0.000540132;0.003100444;0.000809342;0.000243764;0.00195728;0.002773669;0.002724623;0.000961885;0.002169771;0.001603256;0.001647748;0;0.000220848;0.000655265;7.45E-05;0.000225073;7.25E-05;0.003026337;0.001258455;0.003829189;0.000304674;0.000591017;0.003651116;0.000249314
Meta-Protein 2709;0.001415094;0.001922153;0.005079365;0.006177076;0.006916636;0.003660322;0.002329451;0.003694297;0.005753138;0.004545455;0.004643963;0.001962067;0.002074074;0.000859066;0.000536961;0.00083316;0.000862887;0.002197266;0.001386117;0.001529344;0.002036223;0.002412646;0.0025647;0.001629518;0.002311471;0.001182669;0.001389198;0.000782648;0.001001927;0.002655337;0.002134251;0.001306115;0.001220772;0.001476459;0.001135832;0.00110742;0.00108058;0.00095226;0.001530368;0.001508916;0.001411986;0.002080895;0.002268554;0.001764046;0.004971673;0.001868855;0.001446685;0.001802885;0.000887087;0.002464831;0.001587638;0.001726583;0.002563164;0.000894516;0.00110424;0.002752113;0.001712456;0.00360117;0.001668601;0.00196303;0.001415762;0.001502593;0.002193651;0.003208376;0.000878972;0.001446023
Meta-Protein 3668;0.000943396;0.001922153;0.001904762;0.001372684;0.000364033;0.002928258;0.001331115;0.006003233;0.001569038;0.001298701;0.002321981;0.003270111;0.001481481;0;0;0.003332639;0.001035465;0.002766927;0.00083167;0.003823361;0.000375094;0.002745424;0.001010337;0.000116394;0.0002167;0.00069885;0.000666815;0.001118068;0.00061657;8.85E-05;0.000826162;0.000532121;0.004883088;0.00164051;0.003340683;0.002926752;0.002933004;0.005205688;0.003634625;0.002812071;0.006118607;0.001950839;0.001944474;0.000534559;0.001734305;0.001300073;0.001276487;0.00106324;0.001647446;0.001022003;0.000687976;0.001479928;0.001281582;0.000688089;0.004637809;0.002490007;0.002754821;0.005851902;0.002684272;0.001063308;0.005584395;0.00130871;0.002620194;0.00270179;0.001555105;0
Meta-Protein 2732;0.000471698;0.000961076;0;0.000686342;0.002912268;0;0.000332779;0;0;0;0;0;0;0.005011216;0.001252909;0.00041658;0.002502373;0.003092448;0.002328676;0.000892118;0.003429429;0.00249584;0.000155436;0.002095094;0.002528171;0.002741641;0.002778395;0.003354204;0.003622351;8.85E-05;6.88E-05;0.002225232;0;0.002515448;0.000267255;0.000158203;0.000231553;0.001968004;0.001626016;0.000411523;0;0.001755755;0.000108026;0.003581547;0;0.000650037;0.000170198;0.001294379;0.00076036;0.001683299;0.002487299;0.002528211;0.00213597;0.000894516;0;0.000589739;0.001786911;0;0.001813697;0.002780959;0.002202297;0.002859774;0.001340564;0.000759878;0.002163624;0.002443281
Meta-Protein 2576;0.014150943;0.002402691;0.002539683;0.001372684;0.008008737;0.001464129;0.000332779;0.009697529;0;0.001948052;0.00619195;0;0;0;0.000178987;0;0;0;0;0.000700949;0;0;0;0;0;0;0;0;0.002620424;0.000265534;0;0;0.006479482;5.47E-05;0.007616757;0.008147445;0.008181538;0;0.002582496;0;0.002039536;0;0.00712974;0;0.000693722;0.004225238;8.51E-05;0.001109467;0.000506907;0.002344595;0.000687976;0.002466547;0.002685219;0.00447258;0.010600707;0.003145272;0.002382548;0.009453072;0.002321532;0.002617373;0.000550574;0.000824003;0.002071781;0.004728132;0.000608519;0.000847669
Meta-Protein 673;0.020283019;0;0;0;0.013105206;0;0;0.002539829;0;0.000649351;0;0;0;0;0;0;0;0;0;6.37E-05;0;0;0;0;0;0;0;0;0.003468208;0;0;0;0.000187811;0.000218735;0.004944211;0.003638665;0.004399506;0;0.005930177;6.86E-05;0.001098211;0;0.002268554;0;0;0.009669294;0;0.002681213;0;0.004749309;0.000476291;0.006844669;0.005004272;0.002064268;0.002429329;0.008583972;0.002531457;0.00360117;0.003264655;0.004907574;0;0.000920944;0.004448236;0.000675447;0.000946586;0.000398903
Meta-Protein 16224;0.003773585;0.014896684;0;0.001372684;0.004368402;0.001464129;0;0.027707227;0;0.001948052;0;0.004578156;0;0.000381807;0;0;0.001984641;0.003580729;0.002106897;6.37E-05;0.002572072;0.003161398;0;0.001629518;0.006717712;0.004085582;0.004501;0.003354204;0.002851638;0.000796601;0.000757315;0;0;0.003335703;0;0;0;0;0;0.001165981;0;0.003771622;0.001080264;0.001015663;0;0.003250183;8.51E-05;0.000600962;0.002724623;0;0.000105843;0;0.000122055;0.004954242;0.023409894;0;0;0.027233851;0;0;0;9.69E-05;0;0;6.76E-05;0
Meta-Protein 3144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00016276;0;0.004396865;0.00010717;0;0;0;0;0;0;0;0.000462428;0.000354045;0;0;0.011080853;0.003226336;0.010022049;0.010204082;0.010574251;0.004062976;0;0.011659808;0.001568874;0.011705033;0.007453819;0;0.000346861;0.009100512;8.51E-05;0;0.001267267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meta-Protein 411;0;0;0;0;0;0;0;0;0;0;0;0;0.011407407;0;0;0.006144553;0;0.001139323;0;0;0.004608295;0.001164725;0.010491956;0.006983647;0.004406241;0;0;0;0;0.015577978;0.008123924;0;0;0;0;0;0;0.000126968;0;0.001234568;0;0;0;0;0.01919297;0;0.002638073;0;0.000253453;0;0;0;0;0;0;0.002424481;0;0;0;0.000736136;0.002123643;0.001599535;0.000670282;0.00633232;0.002028398;0
Meta-Protein 2984;0;0.000961076;0;0;0.000364033;0;0;0;0.004707113;0;0;0;0;0.009067914;0.002505817;0.001145595;0.00474588;0.002115885;0.002217787;0.000764672;0.002732826;0.001996672;0.000777182;0.001280335;0.001227969;0.005375766;0.00477884;0.001118068;0.001310212;0;0;0.00188661;0;0.001968612;0.000334068;0.000158203;0.000231553;0.001206196;0.001147776;0.000205761;0;0.001105475;0;0.002940076;0.000231241;0.000325018;0.000510595;0.000924556;0.000253453;0.002044006;0.001958086;0.00117161;0.001220554;0.001169752;0;0.000327633;0.002308093;0;0.002321532;0.001308686;0.001337109;0.001890359;0.000914021;0.000506586;0.001622718;0.00329095
Meta-Protein 4950;0.001886792;0.004324844;0.003809524;0.002745367;0.001820167;0.005124451;0.002995008;0.004617871;0.000523013;0.002597403;0.002321981;0.003924133;0.001777778;0.000238629;0.000178987;0.002187044;0.001812063;0.002115885;0.00166334;0.004141974;0.000803772;0.00249584;0.002020673;0.000640168;0.000866802;0.001343942;0.001111358;0.001118068;0.001078998;0.000442556;0.00130809;0.000773994;0.00272326;0.002132663;0.003140242;0.002610346;0.001929608;0.00190452;0.001721664;0.001371742;0.004392846;0.001235531;0.004321054;0.000801839;0.002196786;0.002112619;0.001531785;0.001155695;0.00285135;0.000781532;0.001481795;0.000863292;0.001098499;0.000894516;0.004416961;0.001572636;0.001414638;0.004501463;0.00137841;0.001390479;0.003618059;0.001163298;0.001523368;0.00177305;0.001149425;0.001146846
Meta-Protein 240;0;0.001922153;0;0.000686342;0.001456134;0;0;0;0.003138075;0;0;0;0.000296296;0.004343054;0.000894935;0.00062487;0.002070929;0.002441406;0.002273231;0.001847958;0.003697353;0.001497504;0.000233155;0.002386079;0.002239237;0.003117944;0.002889531;0;0;0.000354045;0.000481928;0.002370356;0.000281717;0.00224203;0.000334068;7.91E-05;0.000308737;0.001777552;0.001147776;0.000205761;0.000156887;0.001690727;0.000216053;0.003260811;0.00011562;0.000731291;0.000255297;0.001340607;0.00133063;0.002344595;0.00296359;0.002158229;0.001891859;0.001100943;0;0.000720792;0.000223364;0;0.002248984;0.002617373;0.002123643;0.002859774;0.00127963;0.001519757;0.001893171;0.003241087
Meta-Protein 3733;0.004716981;0.009130226;0.003809524;0.009608785;0.003276301;0.005124451;0.001996672;0.005079658;0.001569038;0.004545455;0.001547988;0.005232178;0.001777778;0.000668162;0;0.002082899;0.001466908;0.003499349;0.001108893;0.002357739;0.001232451;0.003078203;0.001398927;0.001047547;0.000939035;0.001021396;0.000944654;0.000782648;0.000847784;0.00141618;0.001927711;0.000870743;0.001408583;0.001968612;0.001603528;0.001898434;0.001389318;0.001650584;0.002678144;0.001920439;0.004392846;0.002015867;0.001080264;0.001389854;0.001387444;0.001137564;0.002042379;0.001109467;0.002217716;0.001142239;0.000952583;0.001233274;0.001464665;0.002133076;0.003091873;0.001703689;0.00193582;0.004951609;0.001886245;0.002126615;0.002438257;0.001163298;0.001645238;0.002026342;0.001555105;0.000199452
Meta-Protein 8300;0.000471698;0.002883229;0.000634921;0.001372684;0.001456134;0;0.001996672;0.000923574;0.001046025;0.000649351;0.002321981;0.004578156;0.002814815;0.000620436;0;0.002811914;0.001639486;0.002197266;0.002106897;0.002230294;0.000857357;0.00249584;0.0017098;0.000523773;0.000794568;0.002042791;0.002667259;0.001565295;0.000539499;0.000796601;0.002134251;0.000967492;0.002817166;0.002679499;0.001937596;0.002214839;0.002238345;0.002666328;0.00191296;0.002194787;0.003922184;0.001755755;0.002592633;0.001122574;0.002428026;0.000975055;0.00399966;0.001340607;0.00285135;0.00084165;0.000899661;0.000986619;0.000976443;0.001444987;0.001325088;0.00131053;0.001265729;0.000900293;0.001233314;0.001554065;0.002831524;0.001260239;0.00127963;0.001266464;0.001284652;0.000199452
